symbol,date,threshold,PPO,SAC,TD3,LST,LS10,LSR,LCl,weights,section
PYPL,2026-07-09,6 (39),0.08(-0.25),0.86(-1.18),1.00(-1.10),0.0020(-0.0021),-0.0004(-0.0012),6.0777( -8.9777),-0.44(  0.13),"[18, 32, 28, 6, 10, 0, 6]",Technology
QUAL3,2026-07-09,58 (70),0.91(-1.01),0.86(-1.02),-1.00( 0.90),0.0087(-0.0188),-0.0146( 0.0145),-1.8726( -1.7274),-0.00( -0.97),"[0, 30, 21, 0, 36, 12, 0]",All Stocks
QUAL3,2026-07-09,58 (70),0.91(-1.01),0.86(-1.02),-1.00( 0.90),0.0087(-0.0188),-0.0146( 0.0145),-1.8726( -1.7274),-0.00( -0.97),"[0, 30, 21, 0, 36, 12, 0]",Finance
QUAL3,2026-07-09,58 (70),0.91(-1.01),0.86(-1.02),-1.00( 0.90),0.0087(-0.0188),-0.0146( 0.0145),-1.8726( -1.7274),-0.00( -0.97),"[0, 30, 21, 0, 36, 12, 0]",Brazilian Finance
QUAL3,2026-07-09,58 (70),0.91(-1.01),0.86(-1.02),-1.00( 0.90),0.0087(-0.0188),-0.0146( 0.0145),-1.8726( -1.7274),-0.00( -0.97),"[0, 30, 21, 0, 36, 12, 0]",Health
QUAL3,2026-07-09,58 (70),0.91(-1.01),0.86(-1.02),-1.00( 0.90),0.0087(-0.0188),-0.0146( 0.0145),-1.8726( -1.7274),-0.00( -0.97),"[0, 30, 21, 0, 36, 12, 0]",Consumer Goods
RADL3,2026-07-09,0 (72),-0.09(-0.01),1.00(-1.10),1.00(-1.10),0.0046(-0.0048),0.0113(-0.0170),2.2632( -4.2632),-0.13( -0.44),"[0, 0, 0, 23, 0, 5, 72]",All Stocks
RADL3,2026-07-09,0 (72),-0.09(-0.01),1.00(-1.10),1.00(-1.10),0.0046(-0.0048),0.0113(-0.0170),2.2632( -4.2632),-0.13( -0.44),"[0, 0, 0, 23, 0, 5, 72]",Health
RAIL3,2026-07-09,46 (66),-0.09(-0.01),-1.00( 0.90),-1.00( 0.90),0.0013(-0.0015),0.0064(-0.0072),1.1452( -3.1452),-0.38(  0.13),"[0, 13, 13, 15, 32, 7, 20]",All Stocks
RAIL3,2026-07-09,46 (66),-0.09(-0.01),-1.00( 0.90),-1.00( 0.90),0.0013(-0.0015),0.0064(-0.0072),1.1452( -3.1452),-0.38(  0.13),"[0, 13, 13, 15, 32, 7, 20]",Consumer Goods
SANB1,2026-07-09,16 (35),-0.26( 0.16),-1.00( 0.90),1.00(-1.10),0.0032(-0.0099),-0.0072(-0.0120),1.9595( -7.2595),-0.31(  0.04),"[5, 5, 0, 29, 35, 19, 5]",All Stocks
SANB1,2026-07-09,16 (35),-0.26( 0.16),-1.00( 0.90),1.00(-1.10),0.0032(-0.0099),-0.0072(-0.0120),1.9595( -7.2595),-0.31(  0.04),"[5, 5, 0, 29, 35, 19, 5]",Finance
SANB1,2026-07-09,16 (35),-0.26( 0.16),-1.00( 0.90),1.00(-1.10),0.0032(-0.0099),-0.0072(-0.0120),1.9595( -7.2595),-0.31(  0.04),"[5, 5, 0, 29, 35, 19, 5]",Brazilian Finance
SANB3,2026-07-09,0 (36),0.26(-0.36),0.99(-1.91),1.00(-2.00),0.0046(-0.0048),-0.0000(-0.0080),0.6358( -1.6358),-0.11( -0.06),"[8, 21, 0, 18, 25, 18, 10]",All Stocks
SANB3,2026-07-09,0 (36),0.26(-0.36),0.99(-1.91),1.00(-2.00),0.0046(-0.0048),-0.0000(-0.0080),0.6358( -1.6358),-0.11( -0.06),"[8, 21, 0, 18, 25, 18, 10]",Finance
SANB3,2026-07-09,0 (36),0.26(-0.36),0.99(-1.91),1.00(-2.00),0.0046(-0.0048),-0.0000(-0.0080),0.6358( -1.6358),-0.11( -0.06),"[8, 21, 0, 18, 25, 18, 10]",Brazilian Finance
SANB4,2026-07-09,4 (31),0.48(-0.58),-1.00( 0.90),1.00(-1.10),0.0039(-0.0099),0.0044(-0.0045),1.4193( -3.2193),-0.01( -0.14),"[0, 4, 0, 31, 26, 14, 26]",All Stocks
SANB4,2026-07-09,4 (31),0.48(-0.58),-1.00( 0.90),1.00(-1.10),0.0039(-0.0099),0.0044(-0.0045),1.4193( -3.2193),-0.01( -0.14),"[0, 4, 0, 31, 26, 14, 26]",Finance
SANB4,2026-07-09,4 (31),0.48(-0.58),-1.00( 0.90),1.00(-1.10),0.0039(-0.0099),0.0044(-0.0045),1.4193( -3.2193),-0.01( -0.14),"[0, 4, 0, 31, 26, 14, 26]",Brazilian Finance
SAP,2026-07-09,36 (65),0.72(-0.82),1.00(-1.10),1.00(-1.10),0.0108(-0.0109),0.0534(-0.0535),5.7021( -6.7021),-0.45(  0.15),"[0, 0, 0, 0, 0, 64, 36]",All Stocks
SAP,2026-07-09,36 (65),0.72(-0.82),1.00(-1.10),1.00(-1.10),0.0108(-0.0109),0.0534(-0.0535),5.7021( -6.7021),-0.45(  0.15),"[0, 0, 0, 0, 0, 64, 36]",Technology
SAPR1,2026-07-09,49 (50),-0.81(-0.05),-1.00( 0.00),-1.00( 0.90),0.0107(-0.0108),0.0044(-0.0045),-0.5598( -0.4402),-0.58(  0.56),"[27, 22, 0, 0, 24, 0, 27]",All Stocks
SAPR3,2026-07-09,22 (31),-0.99(-0.01),-0.99(-0.00),-1.00( 0.90),0.0064(-0.0070),0.0131(-0.0192),-6.1421( -0.8579),-0.83(  0.24),"[9, 6, 0, 29, 31, 2, 22]",All Stocks
SAPR4,2026-07-09,0 (30),0.49(-0.59),-0.97(-0.01),1.00(-1.10),0.0016(-0.0025),0.0095(-0.0096),-0.9226( -3.7774),-0.42( -0.01),"[0, 30, 0, 30, 0, 22, 18]",All Stocks
SBUX,2026-07-09,3 (72),-0.04(-0.10),0.93(-1.03),-1.00( 0.34),0.0047(-0.0059),0.0093(-0.0094),1.5340( -8.2340),-0.38( -0.07),"[72, 0, 3, 0, 6, 0, 19]",All Stocks
SBUX,2026-07-09,3 (72),-0.04(-0.10),0.93(-1.03),-1.00( 0.34),0.0047(-0.0059),0.0093(-0.0094),1.5340( -8.2340),-0.38( -0.07),"[72, 0, 3, 0, 6, 0, 19]",American stocks
SBUX,2026-07-09,3 (72),-0.04(-0.10),0.93(-1.03),-1.00( 0.34),0.0047(-0.0059),0.0093(-0.0094),1.5340( -8.2340),-0.38( -0.07),"[72, 0, 3, 0, 6, 0, 19]",Consumer Goods
SIMH3,2026-07-09,19 (49),0.19(-0.29),1.00(-1.10),-1.00( 0.90),0.0027(-0.0034),0.0092(-0.0146),-1.4202( -0.0798),-0.40(  0.01),"[0, 0, 3, 30, 35, 16, 16]",All Stocks
SO,2026-07-09,0 (50),-0.14(-0.20),0.46(-0.85),1.00(-1.10),0.0082(-0.0084),0.0057(-0.0059),1.1011( -2.2011),-0.22( -0.06),"[30, 9, 0, 6, 4, 1, 50]",All Stocks
SO,2026-07-09,0 (50),-0.14(-0.20),0.46(-0.85),1.00(-1.10),0.0082(-0.0084),0.0057(-0.0059),1.1011( -2.2011),-0.22( -0.06),"[30, 9, 0, 6, 4, 1, 50]",American stocks
SO,2026-07-09,0 (50),-0.14(-0.20),0.46(-0.85),1.00(-1.10),0.0082(-0.0084),0.0057(-0.0059),1.1011( -2.2011),-0.22( -0.06),"[30, 9, 0, 6, 4, 1, 50]",Energy
TAEE1,2026-07-09,0 (33),1.00(-1.10),1.00(-1.10),1.00(-1.10),0.0061(-0.0065),0.0089(-0.0104),6.3886(-11.8886),-0.05( -0.75),"[0, 0, 0, 20, 33, 19, 29]",All Stocks
TAEE1,2026-07-09,0 (33),1.00(-1.10),1.00(-1.10),1.00(-1.10),0.0061(-0.0065),0.0089(-0.0104),6.3886(-11.8886),-0.05( -0.75),"[0, 0, 0, 20, 33, 19, 29]",Energy
TAEE1,2026-07-09,0 (33),1.00(-1.10),1.00(-1.10),1.00(-1.10),0.0061(-0.0065),0.0089(-0.0104),6.3886(-11.8886),-0.05( -0.75),"[0, 0, 0, 20, 33, 19, 29]",Brazilian Energy
