symbol,date,threshold,PPO,SAC,TD3,LST,LS10,LSR,LCl,weights,section
ALUP3,2026-07-09,3 (47),0.10(-0.37),0.60(-0.72),-1.00( 0.23),-0.0121( 0.0006),-0.0138(-0.0000),1.3477( -2.3477),-0.35( -0.05),"[24, 23, 0, 2, 2, 29, 20]",All Stocks
ALUP4,2026-07-09,4 (69),-0.15(-0.53),0.34(-0.78),-1.00( 0.02),0.0028(-0.0031),0.0131(-0.0150),3.9685( -7.8685),-0.45(  0.01),"[33, 29, 2, 2, 30, 2, 2]",All Stocks
AMZN,2026-07-09,0 (0),0.28(-0.38),1.00(-1.10),1.00(-1.10),0.0067(-0.0068),0.0051(-0.0052),7.9177(-14.6177),-0.35( -0.02),"[0, 0, 0, 0, 0, 0, 0]",All Stocks
AMZN,2026-07-09,0 (0),0.28(-0.38),1.00(-1.10),1.00(-1.10),0.0067(-0.0068),0.0051(-0.0052),7.9177(-14.6177),-0.35( -0.02),"[0, 0, 0, 0, 0, 0, 0]",American stocks
AMZN,2026-07-09,0 (0),0.28(-0.38),1.00(-1.10),1.00(-1.10),0.0067(-0.0068),0.0051(-0.0052),7.9177(-14.6177),-0.35( -0.02),"[0, 0, 0, 0, 0, 0, 0]",Consumer Goods
AXP,2026-07-09,0 (47),0.06(-0.33),-0.99( 0.14),1.00(-1.98),0.0032(-0.0037),0.0093(-0.0095),0.6875( -1.6875),-0.16( -0.11),"[47, 0, 13, 40, 0, 0, 0]",All Stocks
AXP,2026-07-09,0 (47),0.06(-0.33),-0.99( 0.14),1.00(-1.98),0.0032(-0.0037),0.0093(-0.0095),0.6875( -1.6875),-0.16( -0.11),"[47, 0, 13, 40, 0, 0, 0]",American stocks
AXP,2026-07-09,0 (47),0.06(-0.33),-0.99( 0.14),1.00(-1.98),0.0032(-0.0037),0.0093(-0.0095),0.6875( -1.6875),-0.16( -0.11),"[47, 0, 13, 40, 0, 0, 0]",Finance
B3SA3,2026-07-09,45 (55),-0.08(-0.02),1.00(-1.10),1.00(-1.10),-0.0044( 0.0017),0.0047(-0.0048),-0.8333( -1.8667),-0.45( -0.03),"[0, 0, 0, 45, 0, 55, 0]",All Stocks
B3SA3,2026-07-09,45 (55),-0.08(-0.02),1.00(-1.10),1.00(-1.10),-0.0044( 0.0017),0.0047(-0.0048),-0.8333( -1.8667),-0.45( -0.03),"[0, 0, 0, 45, 0, 55, 0]",Finance
B3SA3,2026-07-09,45 (55),-0.08(-0.02),1.00(-1.10),1.00(-1.10),-0.0044( 0.0017),0.0047(-0.0048),-0.8333( -1.8667),-0.45( -0.03),"[0, 0, 0, 45, 0, 55, 0]",Brazilian Finance
BAC,2026-07-09,0 (24),-0.08(-0.05),0.91(-1.61),1.00(-1.94),0.0016(-0.0017),0.0039(-0.0041),4.3680(-11.7680),-0.45( -0.02),"[12, 9, 13, 8, 24, 16, 18]",All Stocks
BAC,2026-07-09,0 (24),-0.08(-0.05),0.91(-1.61),1.00(-1.94),0.0016(-0.0017),0.0039(-0.0041),4.3680(-11.7680),-0.45( -0.02),"[12, 9, 13, 8, 24, 16, 18]",American stocks
BAC,2026-07-09,0 (24),-0.08(-0.05),0.91(-1.61),1.00(-1.94),0.0016(-0.0017),0.0039(-0.0041),4.3680(-11.7680),-0.45( -0.02),"[12, 9, 13, 8, 24, 16, 18]",Finance
BBAS3,2026-07-09,9 (62),0.36(-0.46),0.94(-1.04),-0.53(-0.27),0.0021(-0.0046),0.0159(-0.0164),-3.3450( -1.3550),-0.38(  0.03),"[0, 0, 16, 0, 62, 13, 9]",All Stocks
BBAS3,2026-07-09,9 (62),0.36(-0.46),0.94(-1.04),-0.53(-0.27),0.0021(-0.0046),0.0159(-0.0164),-3.3450( -1.3550),-0.38(  0.03),"[0, 0, 16, 0, 62, 13, 9]",Finance
BBAS3,2026-07-09,9 (62),0.36(-0.46),0.94(-1.04),-0.53(-0.27),0.0021(-0.0046),0.0159(-0.0164),-3.3450( -1.3550),-0.38(  0.03),"[0, 0, 16, 0, 62, 13, 9]",Brazilian Finance
BBD,2026-07-09,0 (30),0.30(-0.40),0.96(-1.06),1.00(-1.10),0.0045(-0.0048),-0.0024(-0.0013),4.3010(-12.5010),-0.15( -0.60),"[0, 0, 0, 23, 29, 26, 21]",All Stocks
BBD,2026-07-09,0 (30),0.30(-0.40),0.96(-1.06),1.00(-1.10),0.0045(-0.0048),-0.0024(-0.0013),4.3010(-12.5010),-0.15( -0.60),"[0, 0, 0, 23, 29, 26, 21]",ADRs
BBD,2026-07-09,0 (30),0.30(-0.40),0.96(-1.06),1.00(-1.10),0.0045(-0.0048),-0.0024(-0.0013),4.3010(-12.5010),-0.15( -0.60),"[0, 0, 0, 23, 29, 26, 21]",Finance
BBD,2026-07-09,0 (30),0.30(-0.40),0.96(-1.06),1.00(-1.10),0.0045(-0.0048),-0.0024(-0.0013),4.3010(-12.5010),-0.15( -0.60),"[0, 0, 0, 23, 29, 26, 21]",Brazilian Finance
BBDC3,2026-07-09,17 (83),-0.93( 0.12),-0.84(-0.11),-0.99(-0.01),-0.0019(-0.0001),-0.0060(-0.0001),0.6593( -1.6593),-0.24( -0.01),"[17, 83, 0, 0, 0, 0, 0]",All Stocks
BBDC3,2026-07-09,17 (83),-0.93( 0.12),-0.84(-0.11),-0.99(-0.01),-0.0019(-0.0001),-0.0060(-0.0001),0.6593( -1.6593),-0.24( -0.01),"[17, 83, 0, 0, 0, 0, 0]",Finance
BBDC3,2026-07-09,17 (83),-0.93( 0.12),-0.84(-0.11),-0.99(-0.01),-0.0019(-0.0001),-0.0060(-0.0001),0.6593( -1.6593),-0.24( -0.01),"[17, 83, 0, 0, 0, 0, 0]",Brazilian Finance
BBDC4,2026-07-09,32 (49),-0.23(-0.05),-1.00( 0.03),-1.00(-0.00),0.0021(-0.0063),0.0021(-0.0054),5.3752( -9.9752),-0.03( -0.12),"[13, 32, 1, 2, 35, 16, 2]",All Stocks
BBDC4,2026-07-09,32 (49),-0.23(-0.05),-1.00( 0.03),-1.00(-0.00),0.0021(-0.0063),0.0021(-0.0054),5.3752( -9.9752),-0.03( -0.12),"[13, 32, 1, 2, 35, 16, 2]",Finance
BBDC4,2026-07-09,32 (49),-0.23(-0.05),-1.00( 0.03),-1.00(-0.00),0.0021(-0.0063),0.0021(-0.0054),5.3752( -9.9752),-0.03( -0.12),"[13, 32, 1, 2, 35, 16, 2]",Brazilian Finance
BBSE3,2026-07-09,0 (32),0.54(-0.64),1.00(-1.10),0.97(-1.88),0.0096(-0.0097),0.0087(-0.0164),1.8589( -2.8589),-0.35( -0.09),"[0, 0, 27, 32, 27, 0, 14]",All Stocks
BBSE3,2026-07-09,0 (32),0.54(-0.64),1.00(-1.10),0.97(-1.88),0.0096(-0.0097),0.0087(-0.0164),1.8589( -2.8589),-0.35( -0.09),"[0, 0, 27, 32, 27, 0, 14]",Finance
BBSE3,2026-07-09,0 (32),0.54(-0.64),1.00(-1.10),0.97(-1.88),0.0096(-0.0097),0.0087(-0.0164),1.8589( -2.8589),-0.35( -0.09),"[0, 0, 27, 32, 27, 0, 14]",Brazilian Finance
BOVA1,2026-07-09,0 (42),-0.68(-0.04),-0.93(-0.02),0.60(-0.74),0.0030(-0.0060),0.0074(-0.0075),4.7768( -9.1768),-0.01( -0.41),"[6, 3, 9, 40, 0, 13, 29]",All Stocks
BOVA1,2026-07-09,0 (42),-0.68(-0.04),-0.93(-0.02),0.60(-0.74),0.0030(-0.0060),0.0074(-0.0075),4.7768( -9.1768),-0.01( -0.41),"[6, 3, 9, 40, 0, 13, 29]",Indexes
BOVA1,2026-07-09,0 (42),-0.68(-0.04),-0.93(-0.02),0.60(-0.74),0.0030(-0.0060),0.0074(-0.0075),4.7768( -9.1768),-0.01( -0.41),"[6, 3, 9, 40, 0, 13, 29]",Brazilian Indexes
BPAC1,2026-07-09,41 (41),-0.68(-0.04),0.83(-0.93),0.98(-1.96),-0.0052(-0.0027),-0.0281( 0.0014),1.8348( -2.8348),-0.00( -0.93),"[9, 0, 4, 35, 41, 0, 11]",All Stocks
BPAC1,2026-07-09,41 (41),-0.68(-0.04),0.83(-0.93),0.98(-1.96),-0.0052(-0.0027),-0.0281( 0.0014),1.8348( -2.8348),-0.00( -0.93),"[9, 0, 4, 35, 41, 0, 11]",Stocks to sell
BPAC1,2026-07-09,41 (41),-0.68(-0.04),0.83(-0.93),0.98(-1.96),-0.0052(-0.0027),-0.0281( 0.0014),1.8348( -2.8348),-0.00( -0.93),"[9, 0, 4, 35, 41, 0, 11]",Finance
BPAC1,2026-07-09,41 (41),-0.68(-0.04),0.83(-0.93),0.98(-1.96),-0.0052(-0.0027),-0.0281( 0.0014),1.8348( -2.8348),-0.00( -0.93),"[9, 0, 4, 35, 41, 0, 11]",Brazilian Finance
BPAC3,2026-07-09,62 (44),0.31(-0.44),-1.00( 0.01),1.00(-1.47),-0.0050( 0.0049),-0.0063( 0.0031),-0.3964( -0.6036),-0.21( -0.69),"[0, 6, 0, 37, 18, 0, 38]",All Stocks
BPAC3,2026-07-09,62 (44),0.31(-0.44),-1.00( 0.01),1.00(-1.47),-0.0050( 0.0049),-0.0063( 0.0031),-0.3964( -0.6036),-0.21( -0.69),"[0, 6, 0, 37, 18, 0, 38]",Stocks to sell
BPAC3,2026-07-09,62 (44),0.31(-0.44),-1.00( 0.01),1.00(-1.47),-0.0050( 0.0049),-0.0063( 0.0031),-0.3964( -0.6036),-0.21( -0.69),"[0, 6, 0, 37, 18, 0, 38]",Finance
BPAC3,2026-07-09,62 (44),0.31(-0.44),-1.00( 0.01),1.00(-1.47),-0.0050( 0.0049),-0.0063( 0.0031),-0.3964( -0.6036),-0.21( -0.69),"[0, 6, 0, 37, 18, 0, 38]",Brazilian Finance
BPAC5,2026-07-09,0 (46),0.52(-1.37),0.40(-0.50),0.95(-1.95),0.0226(-0.0456),0.0515(-0.0834),1.2448( -2.2448),-0.01( -0.93),"[0, 32, 46, 0, 22, 0, 0]",All Stocks
BPAC5,2026-07-09,0 (46),0.52(-1.37),0.40(-0.50),0.95(-1.95),0.0226(-0.0456),0.0515(-0.0834),1.2448( -2.2448),-0.01( -0.93),"[0, 32, 46, 0, 22, 0, 0]",Finance
BPAC5,2026-07-09,0 (46),0.52(-1.37),0.40(-0.50),0.95(-1.95),0.0226(-0.0456),0.0515(-0.0834),1.2448( -2.2448),-0.01( -0.93),"[0, 32, 46, 0, 22, 0, 0]",Brazilian Finance
BPAN4,2026-01-23,0 (56),0.24(-0.50),0.22(-1.21),1.00(-1.10),0.0071(-0.0073),0.0131(-0.0177),6.1243(-13.1243),-0.00( -0.69),"[24, 0, 0, 23, 20, 20, 13]",All Stocks
BPAN4,2026-01-23,0 (56),0.24(-0.50),0.22(-1.21),1.00(-1.10),0.0071(-0.0073),0.0131(-0.0177),6.1243(-13.1243),-0.00( -0.69),"[24, 0, 0, 23, 20, 20, 13]",Finance
BPAN4,2026-01-23,0 (56),0.24(-0.50),0.22(-1.21),1.00(-1.10),0.0071(-0.0073),0.0131(-0.0177),6.1243(-13.1243),-0.00( -0.69),"[24, 0, 0, 23, 20, 20, 13]",Brazilian Finance
BRAP3,2026-07-09,0 (53),-0.57(-0.18),0.97(-1.91),1.00(-1.10),0.0077(-0.0078),-0.0009(-0.0049),-0.5686( -3.2314),-0.40( -0.01),"[26, 13, 17, 0, 27, 17, 0]",All Stocks
BRAP4,2026-07-09,0 (52),-0.06(-0.16),-0.99(-0.01),1.00(-1.10),0.0055(-0.0056),0.0054(-0.0055),-2.1861( -2.7139),-0.43( -0.21),"[19, 0, 0, 0, 0, 49, 32]",All Stocks
BRK-B,2026-07-09,0 (73),0.64(-0.74),-0.62(-0.16),1.00(-1.10),0.0007(-0.0008),0.0023(-0.0024),6.9576(-11.6576),-0.38( -0.01),"[0, 73, 0, 0, 0, 0, 27]",All Stocks
BRK-B,2026-07-09,0 (73),0.64(-0.74),-0.62(-0.16),1.00(-1.10),0.0007(-0.0008),0.0023(-0.0024),6.9576(-11.6576),-0.38( -0.01),"[0, 73, 0, 0, 0, 0, 27]",American stocks
BRKM3,2026-07-09,27 (43),-0.27(-0.23),-0.42(-0.39),-1.00( 0.10),0.0253(-0.0529),0.0959(-0.1157),-6.1198(  5.1198),-0.99(  0.18),"[23, 12, 4, 16, 22, 4, 20]",All Stocks
BRKM5,2026-07-09,77 (40),0.41(-0.55),-1.00( 0.12),-1.00( 0.90),-0.0038( 0.0013),0.0355(-0.0427),-5.9736(  4.4736),-0.38(  0.04),"[0, 13, 6, 40, 23, 8, 11]",All Stocks
BRKM5,2026-07-09,77 (40),0.41(-0.55),-1.00( 0.12),-1.00( 0.90),-0.0038( 0.0013),0.0355(-0.0427),-5.9736(  4.4736),-0.38(  0.04),"[0, 13, 6, 40, 23, 8, 11]",Stocks to sell
BRKM5,2026-07-09,77 (40),0.41(-0.55),-1.00( 0.12),-1.00( 0.90),-0.0038( 0.0013),0.0355(-0.0427),-5.9736(  4.4736),-0.38(  0.04),"[0, 13, 6, 40, 23, 8, 11]",STRONG SELL
BRKM6,2026-07-08,43 (37),-0.20( 0.00),-0.55(-0.06),-1.00( 0.90),0.0058(-0.0059),0.0257(-0.0307),-3.6606(  0.9606),-0.97(  0.95),"[7, 24, 5, 17, 16, 24, 7]",All Stocks
BRKM6,2026-07-08,43 (37),-0.20( 0.00),-0.55(-0.06),-1.00( 0.90),0.0058(-0.0059),0.0257(-0.0307),-3.6606(  0.9606),-0.97(  0.95),"[7, 24, 5, 17, 16, 24, 7]",Stocks to sell
BRSR3,2026-07-09,56 (56),0.51(-0.61),0.98(-1.08),-1.00(-0.00),0.0034(-0.0035),0.0165(-0.0166),-0.9865( -4.8135),-0.65(  0.13),"[0, 0, 0, 0, 0, 44, 56]",All Stocks
BRSR3,2026-07-09,56 (56),0.51(-0.61),0.98(-1.08),-1.00(-0.00),0.0034(-0.0035),0.0165(-0.0166),-0.9865( -4.8135),-0.65(  0.13),"[0, 0, 0, 0, 0, 44, 56]",Stocks to sell
BRSR3,2026-07-09,56 (56),0.51(-0.61),0.98(-1.08),-1.00(-0.00),0.0034(-0.0035),0.0165(-0.0166),-0.9865( -4.8135),-0.65(  0.13),"[0, 0, 0, 0, 0, 44, 56]",Finance
BRSR3,2026-07-09,56 (56),0.51(-0.61),0.98(-1.08),-1.00(-0.00),0.0034(-0.0035),0.0165(-0.0166),-0.9865( -4.8135),-0.65(  0.13),"[0, 0, 0, 0, 0, 44, 56]",Brazilian Finance
BRSR5,2026-07-08,0 (44),0.14(-1.08),-0.49(-0.47),-0.87(-0.12),0.0038(-0.0134),0.0176(-0.0177),2.7660( -6.6660),-0.27( -0.24),"[44, 43, 5, 5, 0, 3, 0]",All Stocks
BRSR5,2026-07-08,0 (44),0.14(-1.08),-0.49(-0.47),-0.87(-0.12),0.0038(-0.0134),0.0176(-0.0177),2.7660( -6.6660),-0.27( -0.24),"[44, 43, 5, 5, 0, 3, 0]",Finance
BRSR5,2026-07-08,0 (44),0.14(-1.08),-0.49(-0.47),-0.87(-0.12),0.0038(-0.0134),0.0176(-0.0177),2.7660( -6.6660),-0.27( -0.24),"[44, 43, 5, 5, 0, 3, 0]",Brazilian Finance
BRSR6,2026-07-09,39 (57),-0.43(-0.01),0.94(-1.42),1.00(-1.73),-0.0070( 0.0048),-0.0041( 0.0027),3.9530( -7.5530),-0.95(  0.76),"[7, 26, 10, 7, 15, 17, 17]",All Stocks
BRSR6,2026-07-09,39 (57),-0.43(-0.01),0.94(-1.42),1.00(-1.73),-0.0070( 0.0048),-0.0041( 0.0027),3.9530( -7.5530),-0.95(  0.76),"[7, 26, 10, 7, 15, 17, 17]",Finance
BRSR6,2026-07-09,39 (57),-0.43(-0.01),0.94(-1.42),1.00(-1.73),-0.0070( 0.0048),-0.0041( 0.0027),3.9530( -7.5530),-0.95(  0.76),"[7, 26, 10, 7, 15, 17, 17]",Brazilian Finance
BRZU,2026-07-09,0 (48),-0.49(-0.39),-0.80(-0.15),-1.00( 0.49),0.0214(-0.0291),0.0151(-0.0180),2.7726( -7.7726),-0.25( -0.05),"[3, 10, 0, 13, 10, 25, 39]",All Stocks
BRZU,2026-07-09,0 (48),-0.49(-0.39),-0.80(-0.15),-1.00( 0.49),0.0214(-0.0291),0.0151(-0.0180),2.7726( -7.7726),-0.25( -0.05),"[3, 10, 0, 13, 10, 25, 39]",Indexes
BRZU,2026-07-09,0 (48),-0.49(-0.39),-0.80(-0.15),-1.00( 0.49),0.0214(-0.0291),0.0151(-0.0180),2.7726( -7.7726),-0.25( -0.05),"[3, 10, 0, 13, 10, 25, 39]",Brazilian Indexes
BSBR,2026-07-09,8 (43),-0.04(-0.31),-0.22(-0.09),-1.00( 0.08),-0.0006(-0.0162),0.0058(-0.0295),1.0686( -7.2686),-0.19( -0.04),"[21, 15, 8, 1, 17, 21, 16]",All Stocks
BSBR,2026-07-09,8 (43),-0.04(-0.31),-0.22(-0.09),-1.00( 0.08),-0.0006(-0.0162),0.0058(-0.0295),1.0686( -7.2686),-0.19( -0.04),"[21, 15, 8, 1, 17, 21, 16]",ADRs
BSBR,2026-07-09,8 (43),-0.04(-0.31),-0.22(-0.09),-1.00( 0.08),-0.0006(-0.0162),0.0058(-0.0295),1.0686( -7.2686),-0.19( -0.04),"[21, 15, 8, 1, 17, 21, 16]",Finance
BSBR,2026-07-09,8 (43),-0.04(-0.31),-0.22(-0.09),-1.00( 0.08),-0.0006(-0.0162),0.0058(-0.0295),1.0686( -7.2686),-0.19( -0.04),"[21, 15, 8, 1, 17, 21, 16]",Brazilian Finance
CIG,2026-07-09,43 (44),-0.22( 0.01),-1.00( 0.06),-1.00( 0.90),0.0030(-0.0033),0.0050(-0.0069),2.8686( -7.1686),-0.38( -0.01),"[20, 14, 9, 22, 21, 14, 0]",All Stocks
CIG,2026-07-09,43 (44),-0.22( 0.01),-1.00( 0.06),-1.00( 0.90),0.0030(-0.0033),0.0050(-0.0069),2.8686( -7.1686),-0.38( -0.01),"[20, 14, 9, 22, 21, 14, 0]",ADRs
CIG,2026-07-09,43 (44),-0.22( 0.01),-1.00( 0.06),-1.00( 0.90),0.0030(-0.0033),0.0050(-0.0069),2.8686( -7.1686),-0.38( -0.01),"[20, 14, 9, 22, 21, 14, 0]",Brazilian Energy
CMIG3,2026-07-09,0 (84),0.72(-0.82),1.00(-1.10),1.00(-1.10),0.0113(-0.0137),0.0117(-0.0118),-0.8663( -0.4337),-0.59( -0.35),"[0, 0, 0, 10, 0, 6, 84]",All Stocks
CMIG3,2026-07-09,0 (84),0.72(-0.82),1.00(-1.10),1.00(-1.10),0.0113(-0.0137),0.0117(-0.0118),-0.8663( -0.4337),-0.59( -0.35),"[0, 0, 0, 10, 0, 6, 84]",Energy
CMIG3,2026-07-09,0 (84),0.72(-0.82),1.00(-1.10),1.00(-1.10),0.0113(-0.0137),0.0117(-0.0118),-0.8663( -0.4337),-0.59( -0.35),"[0, 0, 0, 10, 0, 6, 84]",Brazilian Energy
CMIG4,2026-07-09,0 (0),1.00(-1.10),0.93(-1.03),1.00(-1.10),0.0078(-0.0079),0.0194(-0.0195),0.7155( -1.7155),-0.15( -0.01),"[0, 0, 0, 0, 0, 0, 0]",All Stocks
CMIG4,2026-07-09,0 (0),1.00(-1.10),0.93(-1.03),1.00(-1.10),0.0078(-0.0079),0.0194(-0.0195),0.7155( -1.7155),-0.15( -0.01),"[0, 0, 0, 0, 0, 0, 0]",Energy
CMIG4,2026-07-09,0 (0),1.00(-1.10),0.93(-1.03),1.00(-1.10),0.0078(-0.0079),0.0194(-0.0195),0.7155( -1.7155),-0.15( -0.01),"[0, 0, 0, 0, 0, 0, 0]",Brazilian Energy
CPFE3,2026-07-09,0 (82),-0.76(-0.03),1.00(-1.10),1.00(-2.00),0.0040(-0.0042),0.0088(-0.0111),3.0415( -8.2415),-0.32( -0.05),"[2, 0, 0, 82, 9, 6, 1]",All Stocks
CPFE3,2026-07-09,0 (82),-0.76(-0.03),1.00(-1.10),1.00(-2.00),0.0040(-0.0042),0.0088(-0.0111),3.0415( -8.2415),-0.32( -0.05),"[2, 0, 0, 82, 9, 6, 1]",Energy
CPFE3,2026-07-09,0 (82),-0.76(-0.03),1.00(-1.10),1.00(-2.00),0.0040(-0.0042),0.0088(-0.0111),3.0415( -8.2415),-0.32( -0.05),"[2, 0, 0, 82, 9, 6, 1]",Brazilian Energy
CPLE3,2026-07-09,51 (52),1.00(-1.10),0.99(-1.09),1.00(-1.10),0.0120(-0.0121),0.0102(-0.0103),-3.5162(  1.1162),-0.37( -0.02),"[0, 0, 0, 0, 0, 51, 49]",All Stocks
CPLE3,2026-07-09,51 (52),1.00(-1.10),0.99(-1.09),1.00(-1.10),0.0120(-0.0121),0.0102(-0.0103),-3.5162(  1.1162),-0.37( -0.02),"[0, 0, 0, 0, 0, 51, 49]",Energy
CPLE3,2026-07-09,51 (52),1.00(-1.10),0.99(-1.09),1.00(-1.10),0.0120(-0.0121),0.0102(-0.0103),-3.5162(  1.1162),-0.37( -0.02),"[0, 0, 0, 0, 0, 51, 49]",Brazilian Energy
CPLE5,2025-12-19,41 (67),-0.28( 0.18),1.00(-1.64),-1.00( 0.14),4.5774(-4.5775),6.7254(-6.7255),1.9686( -2.9686),-0.23( -0.21),"[19, 26, 21, 0, 34, 0, 0]",All Stocks
CPLE5,2025-12-19,41 (67),-0.28( 0.18),1.00(-1.64),-1.00( 0.14),4.5774(-4.5775),6.7254(-6.7255),1.9686( -2.9686),-0.23( -0.21),"[19, 26, 21, 0, 34, 0, 0]",Energy
CPLE5,2025-12-19,41 (67),-0.28( 0.18),1.00(-1.64),-1.00( 0.14),4.5774(-4.5775),6.7254(-6.7255),1.9686( -2.9686),-0.23( -0.21),"[19, 26, 21, 0, 34, 0, 0]",Brazilian Energy
CPLE6,2025-11-07,0 (63),-0.74(-0.18),0.68(-1.13),1.00(-1.10),0.0052(-0.0053),0.0046(-0.0047),4.5407(-10.6407),-0.33( -0.01),"[37, 63, 0, 0, 0, 0, 0]",All Stocks
CPLE6,2025-11-07,0 (63),-0.74(-0.18),0.68(-1.13),1.00(-1.10),0.0052(-0.0053),0.0046(-0.0047),4.5407(-10.6407),-0.33( -0.01),"[37, 63, 0, 0, 0, 0, 0]",Energy
CPLE6,2025-11-07,0 (63),-0.74(-0.18),0.68(-1.13),1.00(-1.10),0.0052(-0.0053),0.0046(-0.0047),4.5407(-10.6407),-0.33( -0.01),"[37, 63, 0, 0, 0, 0, 0]",Brazilian Energy
CRM,2026-07-09,48 (52),-0.80(-0.08),0.96(-1.06),-1.00( 0.00),0.0097(-0.0098),0.0083(-0.0117),5.0419( -6.0419),-0.30(  0.29),"[52, 0, 2, 0, 0, 0, 46]",All Stocks
CRM,2026-07-09,48 (52),-0.80(-0.08),0.96(-1.06),-1.00( 0.00),0.0097(-0.0098),0.0083(-0.0117),5.0419( -6.0419),-0.30(  0.29),"[52, 0, 2, 0, 0, 0, 46]",American stocks
CRM,2026-07-09,48 (52),-0.80(-0.08),0.96(-1.06),-1.00( 0.00),0.0097(-0.0098),0.0083(-0.0117),5.0419( -6.0419),-0.30(  0.29),"[52, 0, 2, 0, 0, 0, 46]",Technology
CSAN,2026-07-09,60 (51),-0.74( 0.45),0.99(-1.09),-1.00( 0.90),-0.0290( 0.0073),-0.0370( 0.0334),1.5071( -3.8071),-0.07(  0.02),"[12, 17, 8, 14, 17, 23, 9]",All Stocks
CSAN,2026-07-09,60 (51),-0.74( 0.45),0.99(-1.09),-1.00( 0.90),-0.0290( 0.0073),-0.0370( 0.0334),1.5071( -3.8071),-0.07(  0.02),"[12, 17, 8, 14, 17, 23, 9]",Stocks to sell
CSAN,2026-07-09,60 (51),-0.74( 0.45),0.99(-1.09),-1.00( 0.90),-0.0290( 0.0073),-0.0370( 0.0334),1.5071( -3.8071),-0.07(  0.02),"[12, 17, 8, 14, 17, 23, 9]",ADRs
CSAN3,2026-07-09,46 (46),-0.42( 0.04),-1.00( 0.05),-1.00( 0.90),0.0184(-0.0196),0.0363(-0.0367),6.8753(-11.5753),-0.32(  0.31),"[13, 12, 11, 17, 18, 20, 11]",All Stocks
CSAN3,2026-07-09,46 (46),-0.42( 0.04),-1.00( 0.05),-1.00( 0.90),0.0184(-0.0196),0.0363(-0.0367),6.8753(-11.5753),-0.32(  0.31),"[13, 12, 11, 17, 18, 20, 11]",Stocks to sell
CSMG3,2026-07-09,0 (63),-0.28(-0.01),-1.00( 0.90),1.00(-1.10),0.0050(-0.0051),0.0124(-0.0125),6.0867(-10.9867),-0.09( -0.77),"[0, 0, 0, 0, 0, 63, 37]",All Stocks
DUK,2026-07-09,0 (72),0.59(-0.69),0.91(-1.01),-1.00(-0.00),0.0024(-0.0027),0.0046(-0.0059),3.2196( -7.2196),-0.30( -0.04),"[0, 0, 16, 13, 0, 53, 18]",All Stocks
DUK,2026-07-09,0 (72),0.59(-0.69),0.91(-1.01),-1.00(-0.00),0.0024(-0.0027),0.0046(-0.0059),3.2196( -7.2196),-0.30( -0.04),"[0, 0, 16, 13, 0, 53, 18]",American stocks
DUK,2026-07-09,0 (72),0.59(-0.69),0.91(-1.01),-1.00(-0.00),0.0024(-0.0027),0.0046(-0.0059),3.2196( -7.2196),-0.30( -0.04),"[0, 0, 16, 13, 0, 53, 18]",Energy
EALT3,2026-07-08,0 (42),0.18(-0.28),0.99(-1.09),1.00(-1.10),0.0118(-0.0119),0.0468(-0.0469),0.3875( -1.3875),-0.25( -0.01),"[42, 0, 0, 0, 0, 21, 37]",All Stocks
EALT4,2026-07-09,45 (55),0.32(-0.42),0.02(-0.27),1.00(-1.10),0.0035(-0.0096),0.0085(-0.0086),-4.3018(  2.8018),-0.32(  0.31),"[0, 0, 0, 55, 0, 27, 18]",All Stocks
EBR,2025-11-07,0 (61),-1.00( 0.03),-0.92(-0.06),-1.00( 0.00),-0.0011(-0.0072),-0.0004(-0.0018),6.2725(-12.1725),-0.50( -0.05),"[0, 0, 0, 34, 40, 26, 0]",All Stocks
EBR,2025-11-07,0 (61),-1.00( 0.03),-0.92(-0.06),-1.00( 0.00),-0.0011(-0.0072),-0.0004(-0.0018),6.2725(-12.1725),-0.50( -0.05),"[0, 0, 0, 34, 40, 26, 0]",ADRs
EBR,2025-11-07,0 (61),-1.00( 0.03),-0.92(-0.06),-1.00( 0.00),-0.0011(-0.0072),-0.0004(-0.0018),6.2725(-12.1725),-0.50( -0.05),"[0, 0, 0, 34, 40, 26, 0]",Energy
ELET3,2025-11-26,0 (56),0.27(-0.98),0.98(-1.08),1.00(-1.10),0.0013(-0.0188),0.0081(-0.0298),4.6523( -9.4523),-0.00( -0.99),"[56, 0, 0, 0, 44, 0, 0]",All Stocks
ELET3,2025-11-26,0 (56),0.27(-0.98),0.98(-1.08),1.00(-1.10),0.0013(-0.0188),0.0081(-0.0298),4.6523( -9.4523),-0.00( -0.99),"[56, 0, 0, 0, 44, 0, 0]",Energy
ELET3,2025-11-26,0 (56),0.27(-0.98),0.98(-1.08),1.00(-1.10),0.0013(-0.0188),0.0081(-0.0298),4.6523( -9.4523),-0.00( -0.99),"[56, 0, 0, 0, 44, 0, 0]",Brazilian Energy
ELET5,2025-11-07,20 (34),0.60(-0.99),0.79(-0.89),1.00(-1.10),0.0056(-0.0057),0.0048(-0.0051),-4.9657(  3.9657),-0.35( -0.42),"[0, 25, 0, 0, 34, 20, 20]",All Stocks
ELET5,2025-11-07,20 (34),0.60(-0.99),0.79(-0.89),1.00(-1.10),0.0056(-0.0057),0.0048(-0.0051),-4.9657(  3.9657),-0.35( -0.42),"[0, 25, 0, 0, 34, 20, 20]",Energy
