symbol,date,threshold,PPO,SAC,TD3,LST,LS10,LSR,LCl,weights,section
BBDC4,2026-07-03,69 (60),-0.35(-0.48),-0.76(-1.63),-1.00(-1.99),0.0019( 0.0012),0.0024( 0.0012),6.5503(  1.5503),0.62(  0.30),"[3, 19, 10, 2, 31, 2, 34]",Finance
BBDC4,2026-07-03,69 (60),-0.35(-0.48),-0.76(-1.63),-1.00(-1.99),0.0019( 0.0012),0.0024( 0.0012),6.5503(  1.5503),0.62(  0.30),"[3, 19, 10, 2, 31, 2, 34]",Brazilian Finance
BBSE3,2026-07-03,100 (55),0.64( 0.16),1.00( 0.90),1.00( 0.40),0.0104( 0.0103),0.0149( 0.0128),1.8327(  0.8327),0.48(  0.06),"[19, 0, 4, 15, 15, 23, 24]",All Stocks
BBSE3,2026-07-03,100 (55),0.64( 0.16),1.00( 0.90),1.00( 0.40),0.0104( 0.0103),0.0149( 0.0128),1.8327(  0.8327),0.48(  0.06),"[19, 0, 4, 15, 15, 23, 24]",Stocks to buy
BBSE3,2026-07-03,100 (55),0.64( 0.16),1.00( 0.90),1.00( 0.40),0.0104( 0.0103),0.0149( 0.0128),1.8327(  0.8327),0.48(  0.06),"[19, 0, 4, 15, 15, 23, 24]",STRONG BUY
BBSE3,2026-07-03,100 (55),0.64( 0.16),1.00( 0.90),1.00( 0.40),0.0104( 0.0103),0.0149( 0.0128),1.8327(  0.8327),0.48(  0.06),"[19, 0, 4, 15, 15, 23, 24]",Finance
BBSE3,2026-07-03,100 (55),0.64( 0.16),1.00( 0.90),1.00( 0.40),0.0104( 0.0103),0.0149( 0.0128),1.8327(  0.8327),0.48(  0.06),"[19, 0, 4, 15, 15, 23, 24]",Brazilian Finance
BOVA1,2026-07-03,83 (43),-0.59(-0.69),-0.94(-1.06),0.18(-0.24),0.0020( 0.0019),0.0077( 0.0076),6.1090(  5.0090),0.65(  0.63),"[2, 2, 14, 26, 0, 28, 29]",All Stocks
BOVA1,2026-07-03,83 (43),-0.59(-0.69),-0.94(-1.06),0.18(-0.24),0.0020( 0.0019),0.0077( 0.0076),6.1090(  5.0090),0.65(  0.63),"[2, 2, 14, 26, 0, 28, 29]",Stocks to buy
BOVA1,2026-07-03,83 (43),-0.59(-0.69),-0.94(-1.06),0.18(-0.24),0.0020( 0.0019),0.0077( 0.0076),6.1090(  5.0090),0.65(  0.63),"[2, 2, 14, 26, 0, 28, 29]",STRONG BUY
BOVA1,2026-07-03,83 (43),-0.59(-0.69),-0.94(-1.06),0.18(-0.24),0.0020( 0.0019),0.0077( 0.0076),6.1090(  5.0090),0.65(  0.63),"[2, 2, 14, 26, 0, 28, 29]",Indexes
BOVA1,2026-07-03,83 (43),-0.59(-0.69),-0.94(-1.06),0.18(-0.24),0.0020( 0.0019),0.0077( 0.0076),6.1090(  5.0090),0.65(  0.63),"[2, 2, 14, 26, 0, 28, 29]",Brazilian Indexes
BPAC1,2026-07-03,3 (63),-0.70(-0.80),0.83(-0.01),0.77( 0.67),0.0012(-0.0012),-0.0280(-0.0639),0.5544( -2.3456),0.58(  0.57),"[0, 34, 1, 63, 0, 0, 1]",All Stocks
BPAC1,2026-07-03,3 (63),-0.70(-0.80),0.83(-0.01),0.77( 0.67),0.0012(-0.0012),-0.0280(-0.0639),0.5544( -2.3456),0.58(  0.57),"[0, 34, 1, 63, 0, 0, 1]",Finance
BPAC1,2026-07-03,3 (63),-0.70(-0.80),0.83(-0.01),0.77( 0.67),0.0012(-0.0012),-0.0280(-0.0639),0.5544( -2.3456),0.58(  0.57),"[0, 34, 1, 63, 0, 0, 1]",Brazilian Finance
BPAC3,2026-07-03,10 (40),-0.15(-0.65),-0.99(-1.10),1.00( 0.17),-0.0118(-0.0185),-0.0172(-0.0212),-0.4185( -1.4185),0.34(  0.14),"[5, 10, 0, 30, 25, 20, 10]",All Stocks
BPAC3,2026-07-03,10 (40),-0.15(-0.65),-0.99(-1.10),1.00( 0.17),-0.0118(-0.0185),-0.0172(-0.0212),-0.4185( -1.4185),0.34(  0.14),"[5, 10, 0, 30, 25, 20, 10]",Finance
BPAC3,2026-07-03,10 (40),-0.15(-0.65),-0.99(-1.10),1.00( 0.17),-0.0118(-0.0185),-0.0172(-0.0212),-0.4185( -1.4185),0.34(  0.14),"[5, 10, 0, 30, 25, 20, 10]",Brazilian Finance
BPAC5,2026-07-03,95 (57),0.40(-0.52),0.70( 0.30),0.96( 0.84),0.0197(-0.0302),0.0458( 0.0391),0.6394( -1.1606),0.98(  0.96),"[4, 48, 8, 0, 2, 1, 37]",All Stocks
BPAC5,2026-07-03,95 (57),0.40(-0.52),0.70( 0.30),0.96( 0.84),0.0197(-0.0302),0.0458( 0.0391),0.6394( -1.1606),0.98(  0.96),"[4, 48, 8, 0, 2, 1, 37]",Stocks to buy
BPAC5,2026-07-03,95 (57),0.40(-0.52),0.70( 0.30),0.96( 0.84),0.0197(-0.0302),0.0458( 0.0391),0.6394( -1.1606),0.98(  0.96),"[4, 48, 8, 0, 2, 1, 37]",STRONG BUY
BPAC5,2026-07-03,95 (57),0.40(-0.52),0.70( 0.30),0.96( 0.84),0.0197(-0.0302),0.0458( 0.0391),0.6394( -1.1606),0.98(  0.96),"[4, 48, 8, 0, 2, 1, 37]",Finance
